nct_id,number
NCT00116805,114
NCT00116831,145
NCT00116844,19
NCT00117156,11
NCT00117286,49
NCT00117312,75
NCT00117325,25
NCT00117338,9
NCT00117507,15
NCT00117572,12
NCT00117598,169
NCT00117637,75
NCT00117676,104
NCT00117793,12
NCT00117845,1
NCT00117949,82
NCT00117988,4
NCT00118040,9
NCT00118092,2
NCT00118157,12
NCT00118287,2
NCT00118417,23
NCT00118430,73
NCT00118482,59
NCT00118703,14
NCT00118716,35
NCT00118846,25
NCT00118898,526
NCT00118911,7
NCT00119015,48
NCT00119106,357
NCT00119262,104
NCT00119379,5
NCT00119405,1
NCT00119678,177
NCT00120042,0
NCT00120250,3
NCT00120289,230
NCT00120406,35
NCT00120627,10
NCT00120874,1
NCT00121108,346
NCT00121134,61
NCT00121199,28
NCT00121238,3
NCT00121485,8
NCT00121641,537
NCT00121667,714
NCT00121992,13
NCT00122109,13
NCT00122135,3
NCT00122187,4
NCT00122278,2
NCT00122317,11
NCT00122382,78
NCT00122460,8
NCT00122681,3035
NCT00122954,5
NCT00122980,83
NCT00123422,20
NCT00123474,670
NCT00123487,611
NCT00123734,8
NCT00123955,9
NCT00124020,179
NCT00124072,2018
NCT00124449,45
NCT00124462,24
NCT00124618,1
NCT00124657,53
NCT00124709,527
NCT00124748,427
NCT00124917,3
NCT00124943,7
NCT00124982,275
NCT00125138,15
NCT00125164,12
NCT00125190,15
NCT00125242,9
NCT00125268,2
NCT00125359,23
NCT00125853,10
NCT00126126,2
NCT00126191,2
NCT00126425,52
NCT00126438,44
NCT00126490,1
NCT00126503,68
NCT00126555,6
NCT00126568,2
NCT00126581,33
NCT00126594,76
NCT00126659,2
NCT00126672,8
NCT00126776,0
NCT00127036,19
NCT00127101,18
NCT00127127,9
NCT00127166,9
NCT00127192,12
NCT00127205,2414
NCT00127413,20
NCT00127608,1
NCT00127660,11
NCT00127712,5
NCT00127803,4
NCT00127842,39
NCT00127855,9
NCT00127933,1
NCT00128102,660
NCT00128206,257
NCT00128492,79
NCT00128661,532
NCT00128830,72
NCT00129116,12
NCT00129129,64
NCT00129220,116
NCT00129259,6
NCT00129272,39
NCT00129311,31
NCT00129376,2
NCT00129389,173
NCT00129402,26
NCT00129467,12
NCT00129545,301
NCT00129623,22
NCT00129649,141
NCT00129701,33
NCT00129766,119
NCT00129935,128
NCT00129961,42
NCT00129974,1
NCT00129987,303
NCT00130039,48
NCT00130208,72
NCT00130247,6
NCT00130286,9
NCT00130442,3
NCT00130520,39
NCT00130533,141
NCT00130637,3
NCT00130689,43
NCT00130728,522
NCT00130793,7
NCT00130832,33
NCT00131248,1
NCT00131352,23
NCT00131365,4
NCT00131469,22
NCT00131508,11
NCT00131664,81
NCT00131911,1
NCT00131937,14
NCT00132028,27
NCT00132041,39
NCT00132132,9
NCT00132301,33
NCT00132314,145
NCT00132496,4
NCT00132678,333
NCT00132691,23
NCT00132730,441
NCT00132769,22
NCT00132808,58
NCT00132873,9
NCT00133705,5
NCT00133952,70
NCT00133991,4
NCT00134056,684
NCT00134082,3
NCT00134563,292
NCT00134719,31
NCT00134784,7
NCT00134901,32
NCT00135330,36
NCT00135356,26
NCT00135512,123
NCT00135668,3
NCT00135694,208
NCT00135707,185
NCT00136084,90
NCT00136318,14
NCT00136357,5
NCT00136604,3
NCT00136916,229
NCT00136955,23
NCT00137046,192
NCT00137111,40
NCT00137267,36
NCT00137423,83
NCT00137436,43
NCT00137449,34
NCT00137631,78
NCT00137839,84
NCT00138073,55
NCT00138151,4
NCT00138424,1
NCT00138658,61
NCT00138671,29
NCT00139477,34
NCT00139659,58
NCT00139737,341
NCT00139776,1079
NCT00140140,6
NCT00140413,3
NCT00140426,3
NCT00140855,2
NCT00141037,28
NCT00141102,1133
NCT00141219,40
NCT00141271,200
NCT00141297,74
NCT00141453,11
NCT00141518,28
NCT00141726,3
NCT00141778,26
NCT00141817,2
NCT00141921,141
NCT00142298,501
NCT00142415,3
NCT00142519,34
NCT00142584,200
NCT00142792,39
NCT00142909,29
NCT00142935,18
NCT00143247,156
NCT00143312,16
NCT00143390,298
NCT00143403,81
NCT00143455,230
NCT00143507,1339
NCT00143598,186
NCT00144027,14
NCT00144170,748
NCT00144300,57
NCT00144339,2457
NCT00144781,2
NCT00145119,45
NCT00145158,5
NCT00145327,514
NCT00145470,210
NCT00145496,204
NCT00145509,43
NCT00145574,19
NCT00145600,39
NCT00145626,5
NCT00145795,1
NCT00145977,6
NCT00146172,73
NCT00146328,586
NCT00146640,37
NCT00146757,2
NCT00146770,5
NCT00146848,433
NCT00147225,7
NCT00147238,8
NCT00147251,49
NCT00147498,46
NCT00147537,271
