NCT_Number,PMID
NCT00078000,[22897944]
NCT00078130,"[18984887, 22024000]"
NCT00078143,[28254158]
NCT00078156,[27739935]
NCT00078286,"[20723799, 26186432]"
NCT00078338,[18789766]
NCT00078403,"[22003405, 22563020, 23739141]"
NCT00078572,"[17192538, 21989330]"
NCT00078819,[18199863]
NCT00078897,[30899530]
NCT00078949,"[26109202, 27993811, 32396614, 33800281]"
NCT00079066,"[18003960, 18946061, 38656931]"
NCT00079274,"[22474202, 28006055, 28453697, 28983557, 31268130, 31811950, 32085892, 32165096, 33863713, 35963480]"
NCT00079482,[21270442]
NCT00079547,[20082927]
NCT00079573,[17341711]
NCT00079937,[39309477]
NCT00080106,"[21402549, 22479542, 25254301]"
NCT00080119,"[21732834, 26872154]"
NCT00080223,[32026243]
NCT00080288,[19880686]
NCT00080301,"[21128114, 21937232, 30153978]"
NCT00080808,[18783876]
NCT00081328,"[22369102, 22540912, 27499218, 28378429, 29246363, 29398050, 29427697, 29936086, 32498621, 34542729, 35149207, 36150365, 37434027, 38421647, 39706874]"
NCT00081380,[23761037]
NCT00081458,"[27507402, 27875291, 32341691]"
NCT00081575,"[19740418, 22812672]"
NCT00081731,"[24245566, 24903387, 26653621, 27647847, 28306749, 30962703, 39402005]"
NCT00081744,[16236177]
NCT00081770,[19625712]
NCT00081939,"[22674807, 22689675, 22733020, 23305732, 23603914, 27581518]"
NCT00081952,[18591315]
NCT00082173,[19345831]
NCT00082381,[22913891]
NCT00082407,[22913891]
NCT00082433,"[21128114, 21937232, 30153978]"
NCT00082511,[18634158]
NCT00082576,[25425434]
NCT00082888,[21725056]
NCT00083031,[38019444]
NCT00083174,[21639806]
NCT00083382,[18669874]
NCT00083551,"[16525139, 22689675, 27581518]"
NCT00083616,[34213592]
NCT00083876,[22689675]
NCT00083889,"[17215529, 25577718, 27238653]"
NCT00083954,[19956459]
NCT00084071,[19284881]
NCT00084084,[25425121]
NCT00084097,[21527026]
NCT00084136,"[22936892, 24979445, 25681380]"
NCT00084266,"[24011955, 26196695, 27600290]"
NCT00085202,"[33405951, 33502920, 33743477]"
NCT00085540,[21377994]
NCT00085644,"[18056755, 18701556, 20100797, 22563743, 25541333, 30388073]"
NCT00085709,"[37267439, 37534515]"
NCT00085735,[34110925]
NCT00086047,[27604769]
NCT00086255,[25938124]
NCT00086320,[28640988]
NCT00086489,[18452610]
NCT00086502,[17157112]
NCT00086580,[21992852]
NCT00086645,"[19487623, 24061784]"
NCT00086658,[18344568]
NCT00087022,[27787547]
NCT00087178,"[35112166, 35230585]"
NCT00087490,"[22770644, 24011955]"
NCT00087698,[23324131]
NCT00088010,[23758943]
NCT00088036,[21535995]
NCT00088049,"[19323965, 21110749, 21586165]"
NCT00088153,[24021517]
NCT00088218,[18565853]
NCT00088452,"[20200383, 23167925, 27029636, 27986874, 28916534]"
NCT00088465,"[20537128, 20537130, 22935168, 24423017]"
NCT00088478,"[20537128, 20537130, 21943257, 22236137, 22646847, 24423017]"
NCT00088491,"[20537128, 20537130, 21324135, 22935168, 24041270, 24423017]"
NCT00088530,[22652183]
NCT00088634,"[19497249, 28807142, 34751928]"
NCT00088699,"[19744406, 20673547, 25295436, 27929610, 30094160, 35092868, 36821406, 37668277, 38834540]"
NCT00089011,[32499241]
NCT00089141,[19270260]
NCT00089505,"[20942666, 22509297, 22719231, 24443547, 24938526]"
NCT00089570,"[28370090, 37302573]"
NCT00089635,[34213592]
NCT00089674,"[19671656, 21555773]"
NCT00089791,"[19671655, 28546097, 29105841, 31125092, 32092479, 33211870]"
NCT00089843,[17592924]
NCT00089895,"[19332455, 22645292, 22995880, 26957532, 28089149, 29747915, 31976867]"
NCT00090051,"[23525797, 24916506]"
NCT00090064,"[31065731, 32500209]"
NCT00090103,"[19825505, 21093145]"
NCT00090220,"[19493565, 19652630, 19935017, 22518014, 24391768, 32184277, 35853188]"
NCT00090233,"[16394299, 20540778]"
NCT00090259,"[19922995, 25742759, 25828348, 27514751]"
NCT00090272,[17182989]
NCT00090285,"[21288094, 22029979, 32184277, 34265048, 34780705, 38012959]"
NCT00090311,[23419231]
NCT00090324,[23083020]
NCT00090363,[19042080]
NCT00090519,[23404115]
NCT00090779,[22180621]
NCT00091429,"[16875985, 24628859]"
NCT00091442,[22995653]
NCT00091507,[22452807]
NCT00091559,[17577020]
NCT00091637,"[17200474, 19389560, 20089518, 20129531, 21304097, 23549644]"
NCT00091650,[19043153]
NCT00091715,[18572079]
NCT00091819,[22416054]
NCT00091910,[17804841]
NCT00091949,"[26886418, 28246237, 28939682, 28959471, 28975241, 29084736, 29934374, 30734043]"
NCT00092222,"[25331113, 38941593]"
NCT00092482,"[19236277, 19236279, 32184277, 35525430]"
NCT00092495,"[19453788, 19935017]"
NCT00092521,"[17494926, 17544766, 18164106, 19116707, 19236277, 19236279, 19935017, 20647284, 21471141, 22454089, 23066159, 29995724, 30982556, 32184277]"
NCT00092534,"[17494925, 17544766, 19236277, 19236279, 19453788, 19935017, 20647284, 21471141, 22454089, 23066159, 29029053, 29995724, 30982556, 32184277, 32247041, 32637895, 35149535, 39138224, 39315334]"
NCT00092547,[19935017]
NCT00092677,"[18765432, 18765433, 19580719, 22147903, 23357717, 24903982, 25217488, 25301859, 25438232, 25685360, 26489804, 26602073, 27486164, 27491438, 28455295, 28698175, 28797414, 29180457, 29361285, 29387432, 29602140, 31092548, 31586530, 33461302, 34426527, 35171199, 36428084, 36915288]"
NCT00092703,[17113426]
NCT00092742,[17113426]
NCT00092768,[16936327]
NCT00093015,"[19880844, 20843249, 22104547, 25452859, 30672083]"
NCT00093158,"[17124018, 17299194, 17368152, 18056903, 19022155, 19460609, 19463378, 19628125, 20026777, 20118151, 20142447, 20647564, 20965465, 21658558, 22354934, 22483327, 22550156, 23048052, 23174632, 23174634, 24310521, 24561145, 24630881, 24847016, 25022226, 26019142, 26198286, 27978944]"
NCT00093847,"[21398094, 22687580]"
NCT00093977,[19954265]
NCT00093990,[19470696]
NCT00094302,"[23258572, 24249049, 24716680, 25122186, 25406305, 25648577, 25782985, 26130119, 26374849, 26475142, 26962133, 27039126, 27056882, 28322009, 28359411, 28637881, 29094152, 29228101, 29501806, 29664406, 30007557, 30140899, 30571191, 30571192, 30819379, 30871349, 31214914, 31220936, 31230508, 31370950, 31606361, 31779923, 31957468, 32387067, 32583288, 32919912, 33097408, 33301080, 33791916, 33901053, 35219761, 35606228, 35867859, 35990945, 36037830, 36061551, 36632831, 36864701, 37078691, 37366061, 38307421, 38776640, 39251903, 39484118, 39745404]"
NCT00094458,"[20393175, 23954314, 25245629, 25728587, 30267864, 32759621]"
NCT00094497,[22551107]
NCT00094549,[19014751]
NCT00094575,"[19826022, 23171095, 27627802, 28160528, 31141634]"
NCT00094627,[31926466]
NCT00094653,"[20525992, 22694829, 23942774, 25214238, 26934345]"
NCT00094666,[31926466]
NCT00094770,[25633134]
NCT00094809,[25851633]
NCT00094887,[21364138]
NCT00095069,[20191935]
NCT00095134,[17975181]
NCT00095147,[18055472]
NCT00095173,"[18632147, 33452173, 35907978, 37221146, 37453737]"
NCT00095199,[24231627]
NCT00095238,"[19001508, 20231531, 21715583, 21750125, 22267751, 26067854, 27317843, 28052977, 30871349, 31370950, 32387067, 33301080, 36632831, 37350280, 37366061, 38904646, 39745404]"
NCT00095251,"[18073360, 20233428]"
NCT00095511,[22454801]
NCT00095576,"[19012954, 23878319]"
NCT00095654,"[16980380, 16997664]"
NCT00095745,[25037144]
NCT00095758,"[19192475, 19287552, 20098527, 20816039, 21731833, 23106023, 23585999, 23585997, 24766999]"
NCT00095823,"[17592907, 19192475, 19287552, 20098527, 20816039, 21731833, 23106023, 23585999, 23585997, 24766999]"
NCT00095875,[23414589]
NCT00096278,"[28006055, 31268130, 31811950, 32085892]"
NCT00096382,[22555974]
NCT00096408,"[20638899, 28350928]"
NCT00096655,"[16339095, 25173754]"
NCT00096798,[19709502]
NCT00097032,[17854242]
NCT00097110,[18055726]
NCT00097188,[18272891]
NCT00097266,[19118324]
NCT00097448,"[21610239, 22805100]"
NCT00097500,[31078666]
NCT00097591,"[17982182, 18377975, 18498956, 19249633, 20026770, 21606391, 24140678, 24947719, 30975005, 32164882]"
NCT00097695,"[20818888, 24749847]"
NCT00097773,"[21893650, 25972024, 26288390]"
NCT00097786,"[20228402, 20228403, 24322398, 24361242, 26275900, 28087508]"
NCT00097877,[19210140]
NCT00097929,[18296419]
NCT00097955,[18525041]
NCT00098124,[19108787]
NCT00098137,[22157519]
NCT00098293,"[20151839, 20949133, 30192390]"
NCT00098306,"[18832244, 18832245]"
NCT00098475,"[19853510, 21860025, 23422747]"
NCT00098722,"[18832244, 18832245]"
NCT00098748,[19432546]
NCT00098839,[38610966]
NCT00099021,[39584361]
NCT00099164,"[17671253, 19155896]"
NCT00099216,"[18096841, 18674411, 19965852]"
NCT00099242,"[21312297, 27681702]"
NCT00099320,[17404349]
NCT00099359,"[22716975, 28369278, 29304083]"
NCT00099437,[29324303]
NCT00099502,[19729344]
NCT00099632,[23300238]
NCT00099710,[23107780]
